"ad_id","ad_subject","ad_body","ad_price"
12000512,"2,5 Zimmer-Wohnung Lorraine Bern","Suche Nachmieter (nach Vereinbarung) für meine geliebte 2,5 Zimmer Wohnung mit Balkon in der Lorraine (nähe Lorrainebad). Die Wohnung verfügt über eine geräumige Küche und einen grossen Einbauschrank im Wohnzimmer. Die ganze Wohnung wurde im März 2016 frisch gestrichen. 

- eigene Waschmaschine und Tumber im Kellerabteil
- Keller- und Estrichabteil
- viel Stauraum in Küche und Wohnzimmer
- Stuckatur an den Decken
- neue Küche mit Backofen, Glaskeramikherd und grossem Kühlschrank und grosser Abwaschmaschine
- Parkett in Zimmern, dunkler Plattenboden in Küche
- Bad mit Badewanne",1400
12000511,"Wickeltisch Ikea","Wickeltisch von Ikea, vor 3 Jahren gekauft. Gebraucht aber in einem guten Zustand. Muss in Villmergen abgeholt werden.",50
12000510,"Kinder stuhl","Gebraucht in guten zu stand",30
12000509,"GB Lemmings 2: The Tribes ","Lemmings 2: The Tribes zu verkaufen für Nintendo Game Boy
 
 
 
Noch weitere Spiele zu verkaufen: Nintendo - Nes - Super Nintendo - Nintendo 64 - Gamecube - Wii - Wii U - Game Boy Color & Advance - Nintendo DS - Nintendo 3DS",3
12000508,"Samsung S7 Weiss 32 GB Wie Neu","Samsung S7 Weiss 32 GB Wie Neu.
Das Handy befindet sich in Top Zustand.
Funktioniert einwandfrei. Es ist wirklich neu.
Hat noch Garantie. Es hat keine Simlock.
Originalverpackung und Quittung sind dabei.
Preis: 500.-
Tel: 0765752330",500
12000507,"Sorel Gr.24","Sorel Gr.24

Gebraucht aber ok. Das weisse Fell oben ist halt nicht mehr Schneeweiss.",35
12000506,"Beleuchtete Glasvitrine in Top Zustand","Sehr schöne Glasvitrine in sehr gutem Zustand zu verkaufen!

Sie ist blau beleuchtbar und sieht sehr elegant aus. Ob als Deko Vitrine im Geschäft, oder als Ablage aller Art für zu Hause- sie ist universell einsetzbar!

Maasse:  170x32x32cm",40
12000505,"Kleiderschrank 1.5m mit Schiebetüren PAX","Dies ist ein gebrauchter PAX Kleiderschrank von IKEA, der wegen Umzug verkauft wird.

Er hat noch keinen Umzug hinter sich.

Durch den modularen Aufbau kann man ihn jederzeit individualisieren.

BxHxT 150x236x66 

Farbe: Eicheneffekt weiss lasiert

Der Schrank muss abgeholt werden. 

Sie können entscheiden, ob Sie ihn selbst abbauen oder ob ich das für Sie übernehemen soll - ohne zusätzliche Kosten. 

Die Montageanleitung ist vorhanden.",200
12000504,"Teppich","Beige gelber, guter Teppich mit Fransen, ca. 14 Jahre alt, ca 245cm x 295cm, einige kleine Flecken, ca 25kg, Transport erfordert 2 Personen und ein grosses Auto!",0
12000503,"Ps1 Sentient ","Sentient zu verkaufen für Sony Playstation
 
 
 
Noch weitere Spiele zu verkaufen: Nintendo - Nes - Super Nintendo - Nintendo 64 - Gamecube - Wii - Wii U - Game Boy Color & Advance - Nintendo DS - Nintendo 3DS",6
12000502,"Pferd Spielzeuge","Pferd Spielzeug im einwandfrei Zustand!",20
12000501,"Audi Q7 Diesel Quattro","Zum verkaufen Audi Q7 Quattro
sehr schönes fahrzeug
probefahr jederzeit ist noch eingelöst.",17400
12000500,"Bartagamen Weibchen","Auf Grund privater Veränderung müssen wir uns im Verlauf dieses Winters von unseren beiden zweijährigen Leatherback Bartagamenweibchen trennen. Wir suchen jemanden, der eine ebenso artgerechte Haltung der Tiere anstrebt, wie wir sie die letzten beiden Jahre verfolgt haben. Ein Terrarium mit den Massen 1.8x1x1 (lxbxh) wird mit den Tieren mitgegeben. Ebenso die Beleuchtung bestehend aus 2x 150W und 1x 70W Metalldampflampen sowie LED und Spots, Äste und weitere Inneneinrichtung, Zeitschaltuhren etc. Die Stromkosten belaufen sich auf ca. 3 Franken pro Tag. 
Mit spätestens vier Jahren sollten die Tiere ein noch etwas grösseres Terrarium bekommen (2.5x1x1m), oder bereits früher, wenn sie zukünftig mit einem männlichen Tier gehalten werden sollen. Die Tiere sind eigene Nachzuchten von uns, gesund, fehlerfrei mit ganzem Schwanz. Die Elterntiere waren ein Salmon-Leatherback und eine Sandfire-Dame. Schön wäre es, wenn die Tiere stressfrei im Zeitraum der Winterruhe umziehen und am neuen Ort aufwachen könnten. Wir führen jeweils eine Winterruhe von drei bis vier Monaten durch, beginnend anfangs November, andauernd bis ende Februar.
Die Tiere können darum bis ende November besichtigt werden.
Wer nur die beiden Tiere möchte, kann natürlich gerne über den Preis verhandeln.",600
12000499,"Iphone 6s Plus 64 GB Silber Wie Neu","Iphone 6s Plus 64 GB Silber Wie Neu.
Das Handy befindet sich in Top Zustand.
Es hat keine kratzer. Es ist wirklich wie neu.
Hat noch garantie. Hat Keine Simlock.
Originalverpackung und Quittung sind dabei.
Preis: 650.-
Tel: 0765752330",650
12000498,"OnePlus Power Bank","10000mAh stark, Sandstone Black, inkl. USB Ladekabel & User Manual in OVP. Neuwertig ohne Herstellergarantie.",20
12000497,"Specialized fully MTB ab Service ","Verkaufe ein sehr schönes mtb specialized frisch ab service und Reinigung. 
29 zoll fully XL Bike sehr selten gefahren. 
Wenn sie interesse haben melden sie sich bei mir. ",1700
12000496,"Edler Schlafzimmerschrank mit Spiegelfront","Neuwertiges Qualitätsmöbel aus Holz, italienischer Stil, 5-türig, verzierte Schranktüren.

Masse (BxHxT) 2.5m x 2.3m x 60cm

Abholung/Transport nach Absprache",340
12000495,"Dreirad","Gebrauchsspuren",7
12000494,"Mini Triplés","N° 10: Joyeux Noël
N° 13: La coquetterie.
Deux brochures de 13 pages chacune publiées par Hachette en 1991 dans la collection des meilleures planches des ""Triplés"", tirées des albums de Nicole Lambert. 
Chaque petit album peut aussi être acheté à la pièce au prix de Fr. 5. -",8
12000493,"Amaca","Amaca ",8
12000492,"Opel Vectra 1.9 Diesel, Frisch ab MFK,06.2016, KLiMA,","Zu Verkaufen-Tauschen steht ein sehr sparsames Opel Vectra 1.9 Diesel, 150PS, Handschaltung, der JG 09.2004, Emissionscode B04, Frisch ab MFK 06.2016, mit 252`940km, mi KLiMA, mit Parksensoren vorne und hinten usw In gutem zustand wie mechanisch sowie auch optisch wie innen so auch aussen für sein alter und Kilometer, natürlich hat es wenige kleine Kratzer usw es ist ja kein Neuwagen. Es hat einige sichtbare Kratzern, vor allem vorne an der Stosstange bei Nummerhalter.

Die Getriebe lässt sich fein schalten und Kupplung fühlt sich sehr gut an.

Serviceheft vorhanden, Servicegepflegt

Letzte service war am 09.2015
Opel ist mit folgenden Extras ausgestattet:
-KLiMA 
-Parkseonsoren vorne und hinten
-Usw

Ein Fahrzeug kann nie vollumfänglich beschrieben werden.

Für Besichtigung und fragen erreichen sie mich unter 0766101986

Ich nehme auch ihr Auto als Zahlung an.

Preis leicht verhandelbar",2345
12000491,"Samsung S6 Edge Schwarz 32 GB Wie Neu","Samsung S6 Edge Schwarz 32 GB Wie Neu.
Das Handy befindet sich in Top Zustand.
Funktioniert einwandfrei. Es ist wirklich neu.
Hat noch Garantie. Es hat keine Simlock.
Originalverpackung und Quittung sind dabei.
Preis: 350.-
Tel: 0765752330",350
12000490,"La cintur","Lo vendo la cintura Armani... ",60
12000489,"Kaffedose","Verkaufe Kaffedose gebraucht.
Muss abgeholt werden
ohne Garantie",1
12000488,"GC Flushed Away ","Flushed Away zu verkaufen für Nintendo GameCube
 
 
 
Noch weitere Spiele zu verkaufen: Nintendo - Nes - Super Nintendo - Nintendo 64 - Gamecube - Wii - Wii U - Game Boy Color & Advance - Nintendo DS - Nintendo 3DS",7
12000487,"Schrank","grosser Stauraum, Türen SilberAlufarben
Hintergrund Black, innen 1 Holztablar und 1 Kleiderstange. 
Masse: B 100 x H 200 x T 54,5 cm 
ABHOLBEREIT.",25
12000486,"Sandkasten mit Spielhaus","Das Spielhaus wird auf Rollen auf und zu geschoben, es gibt während dem Spielen Schatten und dient zugleich zum abdecken des Sandkastens. 

Muss abgeholt werden.",45
12000485,"Sandkasten mit Spielhaus","Das Spielhaus wird auf Rollen auf und zu geschoben, es gibt während dem Spielen Schatten und dient zugleich zum abdecken des Sandkastens. 

Muss abgeholt werden.",45
12000484,"Ultima casa di 4","ultima casa contigua con grange giardino, due posti auto, zona tranquilla e soleggiata di Melano, a due passi dalle scuole e servizi principali.Certificata Minergie, standind medio alto, da scegliere le finiture, piastrelle, cucina, bagni ecc.. 
Per favore no agenzie e intermediari.
Prezzo leggermente trattabile",1150000
12000483,"Christliche Objekte Kugelschreiber Holz Glücksbringer","Der Kugelschreiber bräuchte eine neue Mine. Das Holzteil hat einen Hick ab.

Heiligen Utensilien, Glücksbringer, Souvenir,....

Siehe Fotos.

Beides zusammen für 2.-Fr. 

Postversand: 4.- Fr.
Kann auch in Zürich-Altstetten abgeholt werden.

Schauen sie noch in meine anderen  günstigen Angebote. Am besten mit diesem Link dann müssen sie weniger blättern.  

Direktlink:     
http://www.tutti.ch/zuerich?q=Bolingo

Pro Verkauf gehen 10 Rp. in ein Hilfsprojekt für die LOLA YA BONOBO Schutzstation im Kongo.
 
Vielen Dank, 
Gaby Bolingo",2
12000482,"Nes Hebereke ","Hebereke zu verkaufen für Nintendo Entertainment System (NES)
 
 
 
Noch weitere Spiele zu verkaufen: Nintendo - Nes - Super Nintendo - Nintendo 64 - Gamecube - Wii - Wii U - Game Boy Color & Advance - Nintendo DS - Nintendo 3DS",3
12000481,"Velo","Schönes Kinder Velo der Marke Black Rider!!
Funktioniert einwandfrei!!!

Bei Wunsch Helm dazu!
Velo ohne Helm 40.-
Mit Helm 50.-",40
12000480,"Maisonettewohnung","Originelle Maisonettewohnung mit 2 Balkonen, Ost- Südausrichtung, mitten im Dorf, 2 Bäder mit WM und WT, Estrich und Kellerabteil. Holzofen mit Kunst in Küche-/ Wohnbereich.
Haustiere erlaubt.",1850
12000479,"kuscheliges 3er Sofa Ikea (EKTORP)","Mein Lieblingssofa welches in sehr gutem Zustand ist, muss gehen, weil ich mit meinem Freund zusammenziehe und wir keinen Platz mehr dafür haben. 
3er Sofa von Ikea (EKTORP) Originalpreis: 599 CHF.
Die Sitz- und Rückenkissen sind nicht mit dem Sofa verbunden und das heisst, dass man die wegnehmen kann und sogar darauf schlafen kann. Die Bezüge sind abnehm- und waschbar und wenn dir die Farbe nicht gefällt, kannst du in der Ikea einfach einen neuen Bezug kaufen. 

Hier die Info von Ikea:
- Sitzpolster mit Kaltschaum und Polyesterfaserwattierung stützen angenehm und nehmen die ursprüngliche Form nach dem Aufstehen schnell wieder an.
- Rückenpolster aus Polyesterfasern: sanfte Rückenstütze; rundum bezogen für längere Lebensdauer.
- Leicht sauber zu halten - der abnehmbare Bezug kann in der Maschine gewaschen werden.
- Dank der großen Auswahl an abgestimmten Bezügen lassen sich Polstermöbel ganz einfach öfter neu gestalten.

Breite: 218 cm
Tiefe: 88 cm
Sitztiefe: 49 cm
Sitzhöhe: 45 cm
Höhe: 88 cm

Das Sofa muss abgeholt werden. Die Dekokissen sind nicht erwerbbar. Optimalerweise am Samstag, 01.10.2016",120
12000478,"VW Golf 1 GTI Sitz","Biete einen seltenen Karo 
Beifahrersitz zum Ur-Golf GTI.
Guter sauberer Zustand!",180
12000477,"Gigabyte GA-Z77X-UD5H + Intel Core i7-3770","PROZESSOR 3770 3GENERATION

    Supports 3rd Gen. Intel® 22nm CPUs and 2nd Gen. Intel® Core CPUs (LGA1155 socket)
    GIGABYTE Digital Power Engine with GIGABYTE 3D Power
    GIGABYTE 3D BIOS (Dual UEFI)
    Onboard mSATA slot for mSATA SSDs
    2-way SLI and 2-way CrossFireX multi-GPU support
    Lucid Virtu Universal® MVP GPU virtualization support
    HDMI, DVI, RGB and Display Port
    Dual LAN (Intel® Gigabit + Atheros Gigabit Ethernet controllers)
    Realtek ALC898 with High Quality 110dB SNR HD audio
    GIGABYTE Ultra Durable 4 Technology
    GIGABYTE 333 Onboard Acceleration (USB 3.0, SATA 3.0 & 3x USB Power)
    GIGABYTE On/Off Charge for USB devices",160
12000476,"Portafrutta in vetro","Portafrutta in vetro ",8
12000475,"Handschuhe Gr. 4.5","Marke Reusch gr. 4.5 blau/weiss",10
12000474,"Neuer Anhänger von Sundrani Zürich, ungetragen","SUNDRANI Fine Jewelry  Strehlgasse 23  8001 Zürich
102357 HZA P106Shell 
NP 110 CHF, VP 80 CHF
neu, ungetragen
inkl. goldenem Stoffbeutel
Übergabe in Binz/Maur oder Stadt Zürich Zentrum. Bei Vorauszahlung ist auch ein Versand per Post möglich.",80
12000473,"Ford S-MAX 2.0 TDCi Titanium Automatic","Das Auto ist in tadellosem Zustand, mit bester Ausstattung! Sitzheizung, Navigation, Tempomat, geringer Verbrauch, halt das Perfekte Familienauto. Alufelgen mit Sommerpneu neuwertig (eine Saison). 

Wird verkauft wegen Kinderzuwachs da ein 7-Plätzer her muss. 

Besichtigung täglich nach Absprache nach 16:00 Uhr. 

Bei Interesse und Fragen nicht zögern. Tel 079 508 32 06

Fahrzeugdetails

Marke Ford
Modell S-MAX
Version S-Max 2.0 TDCi Titanium Automatic
Zustand Occasion
Erstzulassung 10.2009
Kilometerstand 170'000 km
Neupreis -
Typenschein 1FH756
Interne ID -
Ab MFK Ja
Letzte MFK-Prüfung 01.2013
Motorisierung

Treibstoff Diesel
Verbrauch 7.0 L
Leistung PS / KW 140 PS/103 KW
Zylinder 4
Hubraum (ccm) 1997
CO2 Emission 193
Energieeffizienz F
Fahrzeugkategorie

Kategorie Van
Aussenfarbe Silber
Innenfarbe Blau
Anzahl Türen 5
Anzahl Sitze 5
Leergewicht (kg) 1771
Antrieb

Gänge 6
Getriebeart Automat Sequentiell
Antriebsart Vorderradantrieb

Erweiterte Ausstattung
Ab MFK
Serviceheft vorhanden
Serienmässige Ausstattung
3-Punkt-Sicherheitsgurte auf allen Plätzen
6-Stufen-Automat sequentiell
Abgedunkelte Seiten- und Heckscheibe
Abklappbare Sitze im Laderaum
Ablagefach im Fussboden (Fond)
ABS und TCS
ABS und TCS
Adaptives Kurvenlicht inkl. Abbiegelicht
Airbag Fahrer und Beifahrer
Alu-Räder 8Jx18 5-Arm-Design
Armlehne vorne mit Ablagefach
Aussentemperaturanzeige
Ausstellfenster hinten
Blau getönte Scheiben
Bordcomputer
Bremsassistent (BAS)
Brillenablage
Cupholder vorne und hinten
Dachspoiler
Drehzahlmesser
Drittes Bremslicht
Elektrische Fensterheber vorne + hinten
Elektronisches Stabilitäts-Programm (ESP)
Fahrersitz elektrisch höhenverstellbar
Fahrlichtautomatik
FordConvers+ Fahrerinformationssystem (Infosystem inkl.Steuerung Mobiltelefon, CD, MP3 und CD-Wechsler)
Front- und Heckschürze
Frontscheibenheizung
Fussraumbeleuchtung vorne
Geruchsfilter
Gurtstraffer vorne
Heckdiffusor
Heckscheiben-Wisch-/Waschanlage
Heizung hinten
Höhenverstellbare Gurten vorne
Innenspiegel automatisch abblendbar
ISOFIX Kindersitzvorrichtung
Klimatisierungsautomatik
Knie-Airbag für Fahrer
Kopfstützen hinten
Kreuzstütze für Fahrersitz verstellbar
Kühlergrill mit Designelementen
Laderaumabdeckung
Leichtmetallräder im 5-Speichen-Design 17J
Lenkrad längs- und höhenverstellbar
Lenkrad und Schalthebelgriff in Leder
Leseleuchten hinten
Leseleuchten vorne
Nebelscheinwerfer
Nebelschlussleuchte
Partikelfilter und Oxydationskatalysator
Pollenfilter (Staubfilter)
Radio/CD 6000CD RDS mit Fernbedienung
Radiovorbereitung, Antenne, Entstörung und 8 LS
Reflektierende Frontscheibe
Regensensor für Scheibenwischer vorne
Scheibenwaschdüsen beheizt
Scheibenwischer vorne mit Intervall
Schutzleisten in Wagenfarbe
Seitenairbag für Fahrer und Beifahrer
Seitenaufprall-Schutzsystem
Seitenschwellerverkleidung in Wagen- farbe lackiert
Servolenkung
Sportfahrwerk
Sportsitze vorne
Stoff-/Leder-Ausstattung
Stosstangen in Wagenfarbe
Tageskilometerzähler
Tempomat
Teppichfussmatten vorne und hinten
Vordersitze heizbar
Wassertemperaturanzeige
Wegfahrsperre elektronisch
Window-Kopfairbags
Zentralverriegelung mit Fernbedienung und Globalschliessung
Zusatzheizung",6700
12000472,"Easywalker Sky Kinderwagen","Bieten Easywalker Sky von 2011
Seit zwei Jahren nicht mehr in Benutzung. Wir waren immer sehr zufrieden mit dem Wagen.  In gutem Zustand was jedoch bei einer Besichtigung gern selbst beurteilt werden kann (keine übermässigen Gebrauchsspuren). Alle textilen Bestandteile sind abnehmbar und wurden von uns frisch gewaschen.

Produktvideo: siehe Youtube

Zur Selbstabholung.",220
